"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"2021-05-17",4169.919922,4188.720215,4061.409912,4155.859863,16716150000,4155.859863
"2021-05-24",4170.160156,4218.359863,4170.160156,4204.109863,19443140000,4204.109863
"2021-05-31",4216.52002,4234.120117,4167.930176,4229.890137,17050410000,4229.890137
"2021-06-07",4229.339844,4249.740234,4208.410156,4247.439941,18389070000,4247.439941
"2021-06-14",4248.310059,4257.160156,4164.399902,4166.450195,20949640000,4166.450195
"2021-06-21",4173.399902,4286.120117,4173.399902,4280.700195,19163010000,4280.700195
"2021-06-28",4284.899902,4355.430176,4274.669922,4352.339844,15859180000,4352.339844
"2021-07-05",4356.459961,4371.600098,4289.370117,4369.549805,12813860000,4369.549805
"2021-07-12",4372.410156,4393.680176,4322.529785,4327.160156,15756840000,4327.160156
"2021-07-19",4296.399902,4415.180176,4233.129883,4411.790039,17267170000,4411.790039
"2021-07-26",4409.580078,4429.970215,4372.509766,4395.259766,14952430000,4395.259766
"2021-08-02",4406.859863,4440.819824,4373,4436.52002,15182090000,4436.52002
"2021-08-09",4437.77002,4468.370117,4424.740234,4468,13718270000,4468
"2021-08-16",4461.649902,4480.259766,4367.72998,4441.669922,14544990000,4441.669922
"2021-08-23",4450.290039,4513.330078,4450.290039,4509.370117,14124930000,4509.370117
"2021-08-30",4513.759766,4545.850098,4513.759766,4535.430176,14256180000,4535.430176
"2021-09-06",4535.379883,4535.379883,4457.660156,4458.580078,11793790000,4458.580078
"2021-09-13",4474.810059,4492.990234,4427.759766,4432.990234,17763120000,4432.990234
"2021-09-20",4402.950195,4465.399902,4305.910156,4455.47998,15697030000,4455.47998
"2021-09-27",4442.120117,4457.299805,4288.52002,4357.040039,15555390000,4357.040039
"2021-10-04",4348.839844,4429.970215,4278.939941,4391.339844,14795520000,4391.339844
"2021-10-11",4385.439941,4475.819824,4329.919922,4471.370117,13758090000,4471.370117
"2021-10-18",4463.720215,4559.669922,4447.470215,4544.899902,13966070000,4544.899902
"2021-10-25",4553.689941,4608.080078,4537.359863,4605.379883,16206040000,4605.379883
"2021-11-01",4610.620117,4718.5,4595.060059,4697.529785,16397220000,4697.529785
"2021-11-08",4701.47998,4714.919922,4630.859863,4682.850098,15646510000,4682.850098
"2021-11-15",4689.299805,4717.75,4672.779785,4697.959961,15279660000,4697.959961
"2021-11-22",4712,4743.830078,4585.430176,4594.620117,11775840000,4594.620117
"2021-11-29",4628.75,4672.950195,4495.120117,4538.430176,20242840000,4538.430176
"2021-12-06",4548.370117,4713.569824,4540.509766,4712.02002,15411530000,4712.02002
"2021-12-13",4710.299805,4731.990234,4600.220215,4620.640137,19184960000,4620.640137
"2021-12-20",4587.899902,4740.740234,4531.100098,4725.790039,10594350000,4725.790039
"2021-12-27",4733.990234,4808.930176,4733.990234,4778.72998,9241530000,4778.72998
