Weekly_Date,XOM,CVX
1/23/2012,87.5,106.99
1/9/2012,85,108.24
12/19/2011,80.24,101.16
12/12/2011,80.73,104.02
12/5/2011,80.88,103.58
11/28/2011,75.84,96.03
11/21/2011,76.53,96.92
11/14/2011,79.53,106.2
11/7/2011,78.82,106.65
10/31/2011,80.59,107.72
10/24/2011,79.92,105.5
10/17/2011,77.87,99.91
10/10/2011,74.73,96.13
10/3/2011,72.05,91.93
9/26/2011,70.01,90.65
9/19/2011,72.91,97.19
9/12/2011,70.34,93.94
8/29/2011,73.33,98.28
8/22/2011,72.15,96.55
8/15/2011,73.04,97
8/8/2011,72.74,94.28
8/1/2011,80.82,106.08
7/25/2011,84.2,107.55
7/18/2011,82.29,105.58
7/11/2011,81.3,104.43
6/27/2011,76.88,97.94
6/20/2011,78.65,98.88
6/13/2011,80,100.04
6/6/2011,80.93,100.9
5/23/2011,80.22,101.13
5/16/2011,80.22,102.03
5/9/2011,83.01,103.25
5/2/2011,88.1,109.48
4/25/2011,86.29,107.37
4/18/2011,83.11,104.95
4/11/2011,85.95,109.74
4/4/2011,84.26,108.52
3/28/2011,83.86,106.4
3/21/2011,81.87,103.86
3/14/2011,81.67,99.16
3/7/2011,85.84,104.12
2/28/2011,85.87,102.28
2/14/2011,82.07,95.5
2/7/2011,83.45,97.28
1/31/2011,79.92,93.85
1/24/2011,78.85,93.89
1/10/2011,75.13,90.95
1/3/2011,73.72,91.66
12/27/2010,72.81,90.49
12/20/2010,72.24,88.96
12/13/2010,72.41,87.72
12/6/2010,71.2,84.79
11/29/2010,68.86,81.3
11/22/2010,70.1,83.47
11/15/2010,71.01,85.74
11/8/2010,69.49,84.62
11/1/2010,66.72,83.15
10/25/2010,66.68,85.13
10/18/2010,65.19,83.48
10/11/2010,64.36,83.85
10/4/2010,62.52,81.89
9/27/2010,61.99,80.3
9/20/2010,61.04,78.54
9/13/2010,61.39,79.37
8/30/2010,59.56,74.63
8/23/2010,58.97,75.34
8/16/2010,59.6,77.11
8/9/2010,62.56,79.3
8/2/2010,60.64,77.62
7/26/2010,59.7,73.82
7/19/2010,58.33,71.84
7/12/2010,58.29,71.53
6/28/2010,59.31,70.56
6/21/2010,64.1,76.81
6/14/2010,62.06,74.23
6/7/2010,59.98,71.66
5/24/2010,60.74,74.22
5/17/2010,63.74,77.39
5/10/2010,65.42,79.37
5/3/2010,68.11,81.96
4/26/2010,69.03,82.52
4/19/2010,67.75,80.25
4/12/2010,68.8,79.5
4/5/2010,67.84,76.97
3/29/2010,66.66,74.61
3/22/2010,66.49,74.17
3/15/2010,66.67,73.51
