Colorado All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240850&sdid=PET.EMM_EPM0_PTE_SCO_DPG.W
21:27:09 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SCO_DPG.W Dollars per Gallon
01/9/2012,3.077
01/2/2012,3.095
12/26/2011,3.119
12/19/2011,3.173
12/12/2011,3.266
12/5/2011,3.331
11/28/2011,3.378
11/21/2011,3.424
11/14/2011,3.479
11/7/2011,3.505
10/31/2011,3.527
10/24/2011,3.55
10/17/2011,3.548
10/10/2011,3.491
10/3/2011,3.498
09/26/2011,3.538
09/19/2011,3.581
09/12/2011,3.596
09/5/2011,3.566
08/29/2011,3.511
08/22/2011,3.485
08/15/2011,3.499
08/8/2011,3.542
08/1/2011,3.554
07/25/2011,3.547
07/18/2011,3.545
07/11/2011,3.532
07/4/2011,3.54
06/27/2011,3.597
06/20/2011,3.661
06/13/2011,3.697
06/6/2011,3.735
05/30/2011,3.763
05/23/2011,3.795
05/16/2011,3.828
05/9/2011,3.767
05/2/2011,3.735
04/25/2011,3.663
04/18/2011,3.636
04/11/2011,3.611
04/4/2011,3.532
03/28/2011,3.461
03/21/2011,3.414
03/14/2011,3.406
03/7/2011,3.372
02/28/2011,3.232
02/21/2011,3.101
02/14/2011,3.051
02/7/2011,3.037
01/31/2011,3.011
01/24/2011,3.008
01/17/2011,2.973
01/10/2011,2.911
01/3/2011,2.882
12/27/2010,2.829
12/20/2010,2.781
12/13/2010,2.778
12/6/2010,2.728
11/29/2010,2.712
11/22/2010,2.742
11/15/2010,2.758
11/8/2010,2.737
11/1/2010,2.729
10/25/2010,2.748
10/18/2010,2.762
10/11/2010,2.762
10/4/2010,2.745
09/27/2010,2.759
09/20/2010,2.793
09/13/2010,2.8
09/6/2010,2.78
08/30/2010,2.773
08/23/2010,2.731
08/16/2010,2.732
08/9/2010,2.723
08/2/2010,2.69
07/26/2010,2.69
07/19/2010,2.691
07/12/2010,2.699
07/5/2010,2.711
06/28/2010,2.728
06/21/2010,2.715
06/14/2010,2.674
06/7/2010,2.684
05/31/2010,2.7
05/24/2010,2.737
05/17/2010,2.776
05/10/2010,2.788
05/3/2010,2.771
04/26/2010,2.766
04/19/2010,2.776
04/12/2010,2.765
04/5/2010,2.75
03/29/2010,2.725
03/22/2010,2.717
03/15/2010,2.692
03/8/2010,2.684
03/1/2010,2.62
02/22/2010,2.586
02/15/2010,2.55
02/8/2010,2.572
02/1/2010,2.58
01/25/2010,2.605
01/18/2010,2.62
01/11/2010,2.599
01/4/2010,2.519
12/28/2009,2.499
12/21/2009,2.496
12/14/2009,2.528
12/7/2009,2.549
11/30/2009,2.555
11/23/2009,2.572
11/16/2009,2.591
11/9/2009,2.62
11/2/2009,2.637
10/26/2009,2.604
10/19/2009,2.485
10/12/2009,2.398
10/5/2009,2.405
09/28/2009,2.445
09/21/2009,2.475
09/14/2009,2.503
09/7/2009,2.525
08/31/2009,2.556
08/24/2009,2.572
08/17/2009,2.585
08/10/2009,2.581
08/3/2009,2.504
07/27/2009,2.479
07/20/2009,2.48
07/13/2009,2.517
07/6/2009,2.557
06/29/2009,2.575
06/22/2009,2.591
06/15/2009,2.582
06/8/2009,2.553
06/1/2009,2.482
05/25/2009,2.428
05/18/2009,2.297
05/11/2009,2.24
05/4/2009,2.108
04/27/2009,2.086
04/20/2009,2.068
04/13/2009,2.05
04/6/2009,2.039
03/30/2009,2.025
03/23/2009,1.931
03/16/2009,1.866
03/9/2009,1.87
03/2/2009,1.84
02/23/2009,1.87
02/16/2009,1.906
02/9/2009,1.875
02/2/2009,1.817
01/26/2009,1.733
01/19/2009,1.672
01/12/2009,1.592
01/5/2009,1.538
12/29/2008,1.58
12/22/2008,1.615
12/15/2008,1.641
12/8/2008,1.688
12/1/2008,1.761
11/24/2008,1.851
11/17/2008,2.04
11/10/2008,2.236
11/3/2008,2.443
10/27/2008,2.687
