New York All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240886&sdid=PET.EMM_EPM0_PTE_SNY_DPG.W
21:26:00 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SNY_DPG.W Dollars per Gallon
10/16/2006,2.475
10/9/2006,2.526
10/2/2006,2.591
09/25/2006,2.683
09/18/2006,2.814
09/11/2006,2.915
09/4/2006,3.014
08/28/2006,3.106
08/21/2006,3.172
08/14/2006,3.224
08/7/2006,3.222
07/31/2006,3.212
07/24/2006,3.195
07/17/2006,3.176
07/10/2006,3.162
07/3/2006,3.12
06/26/2006,3.056
06/19/2006,3.08
06/12/2006,3.107
06/5/2006,3.102
05/29/2006,3.128
05/22/2006,3.146
05/15/2006,3.157
05/8/2006,3.142
05/1/2006,3.143
04/24/2006,3.13
04/17/2006,2.973
04/10/2006,2.857
04/3/2006,2.77
03/27/2006,2.668
03/20/2006,2.651
03/13/2006,2.503
03/6/2006,2.493
02/27/2006,2.464
02/20/2006,2.501
02/13/2006,2.575
02/6/2006,2.617
01/30/2006,2.642
01/23/2006,2.65
01/16/2006,2.623
01/9/2006,2.597
01/2/2006,2.5
12/26/2005,2.447
12/19/2005,2.427
12/12/2005,2.402
12/5/2005,2.375
11/28/2005,2.412
11/21/2005,2.469
11/14/2005,2.549
11/7/2005,2.631
10/31/2005,2.74
10/24/2005,2.848
10/17/2005,2.921
10/10/2005,2.97
10/3/2005,3.01
09/26/2005,3.015
09/19/2005,3.095
09/12/2005,3.364
09/5/2005,3.427
08/29/2005,2.727
08/22/2005,2.723
08/15/2005,2.671
08/8/2005,2.536
08/1/2005,2.509
07/25/2005,2.517
07/18/2005,2.502
07/11/2005,2.492
07/4/2005,2.372
06/27/2005,2.369
06/20/2005,2.334
06/13/2005,2.299
06/6/2005,2.3
05/30/2005,2.313
05/23/2005,2.334
05/16/2005,2.355
05/9/2005,2.372
05/2/2005,2.385
04/25/2005,2.365
04/18/2005,2.357
04/11/2005,2.364
04/4/2005,2.286
03/28/2005,2.244
03/21/2005,2.204
03/14/2005,2.156
03/7/2005,2.082
02/28/2005,2.044
02/21/2005,2.058
02/14/2005,2.066
02/7/2005,2.073
01/31/2005,2.064
01/24/2005,2.021
01/17/2005,2.001
01/10/2005,2.016
01/3/2005,2.039
12/27/2004,2.062
12/20/2004,2.077
12/13/2004,2.109
12/6/2004,2.143
11/29/2004,2.149
11/22/2004,2.155
11/15/2004,2.173
11/8/2004,2.191
11/1/2004,2.206
10/25/2004,2.208
10/18/2004,2.204
10/11/2004,2.152
10/4/2004,2.095
09/27/2004,2.065
09/20/2004,2.034
09/13/2004,2.035
09/6/2004,2.043
08/30/2004,2.058
08/23/2004,2.076
08/16/2004,2.071
08/9/2004,2.078
08/2/2004,2.099
07/26/2004,2.117
07/19/2004,2.127
07/12/2004,2.133
07/5/2004,2.151
06/28/2004,2.173
06/21/2004,2.201
06/14/2004,2.224
06/7/2004,2.233
05/31/2004,2.235
05/24/2004,2.217
05/17/2004,2.165
05/10/2004,2.071
05/3/2004,1.963
04/26/2004,1.939
